,vis_x,vis_y
372,14.050214,13.147788
373,14.808245,22.449244
374,10.679232,24.92862
375,19.60942,22.46149
376,11.80566,-44.99824
377,29.032103,21.8104
378,44.819775,-27.128876
379,-15.512742,-58.423096
380,64.902626,-1.7893052
381,17.95476,-24.094421
382,63.152287,6.354054
383,18.564,21.429604
384,39.93099,45.886276
385,-10.084655,-54.282692
386,13.903342,27.113363
387,65.18344,33.51888
388,28.733597,20.642118
389,14.670906,39.729805
390,-26.33922,-37.52039
391,-2.307956,42.930225
392,-26.45877,45.33225
393,-14.669289,30.863838
394,-6.8164635,31.959946
395,14.580778,39.806168
396,7.046332,14.20157
397,3.4082768,2.2781644
398,5.6304274,39.044632
399,-37.356483,-32.054264
400,-17.798235,26.197155
401,3.9574075,-11.722482
402,5.5827074,0.15968084
403,-39.057644,12.381228
404,10.706301,42.038563
405,-59.87464,-31.330326
406,53.405193,13.893081
407,16.183998,11.72706
408,35.939102,28.619333
409,-7.7507534,0.65218943
410,2.8385582,-24.924572
411,1.4026093,42.309174
412,6.0794706,-65.12646
413,-3.1121125,58.719418
414,-46.932484,-37.808193
415,13.788631,21.019255
416,10.685316,39.922672
417,73.06664,-0.21628733
418,-32.01574,48.1222
419,8.557332,40.38553
420,-6.4649057,32.727757
421,13.865417,41.031654
422,-8.705148,60.910336
423,32.172447,50.436058
424,12.605286,30.566248
425,-78.61784,-17.880457
426,-84.992065,-0.6242797
427,-2.0440474,42.39731
428,28.425232,-40.14967
429,1.272609,42.22677
430,1.6630003,-26.31646
431,21.727869,42.842575
432,12.988025,41.27023
433,29.625376,42.31701
434,20.251944,-10.426507
435,18.470867,16.07146
436,33.34001,44.15717
437,-8.999054,34.81209
438,9.535014,12.211307
439,8.935666,11.416383
440,18.914171,14.557492
441,21.245417,16.17643
442,-38.108257,45.651817
443,19.30237,4.8019648
444,8.926573,9.5379505
445,4.8403397,15.428377
446,45.50157,-20.750689
447,-5.2262483,35.35822
448,10.165675,20.534792
449,-14.90109,32.628876
450,-38.935806,21.81348
451,-18.124723,15.459189
452,29.097141,39.01382
453,-22.923311,-46.24207
454,8.996075,-40.797165
455,18.465435,-25.41951
456,7.6976132,-39.458473
457,37.197117,0.100403644
458,49.844746,21.59405
459,-5.194786,-47.326126
460,22.218157,-55.270462
461,-70.45944,-13.31703
462,49.906075,-8.056816
463,-6.567146,-43.32311
464,-47.52089,-41.9886
465,-10.893351,-27.827755
466,-28.578756,46.056915
467,59.188236,-5.114796
468,-72.732254,13.247184
469,48.46129,25.763683
470,8.759528,-12.935214
471,60.69093,30.600573
472,-46.061172,31.595657
473,72.2268,5.11862
474,31.592896,42.03981
475,59.731083,40.991875
476,-27.900383,40.77539
477,39.610294,6.77598
478,-26.14178,45.682373
479,-75.54774,20.446825
480,33.618755,6.555709
481,-25.884123,38.426044
482,63.64051,16.690754
483,24.539948,2.612422
484,-4.2075777,-18.554558
485,4.9918003,1.5869566
486,-40.116917,22.560148
487,-28.176111,36.96114
488,0.16370767,-28.505737
489,9.2088375,13.743499
490,-7.1515217,-6.12276
491,74.899315,2.0433137
492,42.383606,52.878365
493,29.39213,-42.88249
494,-39.05345,34.336765
495,74.63094,7.5952315
496,14.992149,11.752224
497,37.64233,44.014107
498,17.057802,14.205248
499,49.988865,15.31387
500,35.031967,35.95511
501,9.361615,27.752825
502,14.9380045,13.356334
503,-8.155156,58.358974
504,-22.154305,-34.65812
505,-7.2828026,34.686363
506,-10.134426,60.508568
507,-4.6171346,56.30365
508,-77.26237,10.454295
509,32.09914,52.304535
510,38.058453,18.541302
511,58.09781,36.559498
512,-75.28266,29.372356
513,50.13705,53.991547
514,42.494686,30.229403
515,-38.095932,32.758747
516,8.462504,-16.701426
517,65.49489,21.191198
518,46.653976,45.41366
519,-39.99268,23.170723
520,1.1314023,-18.965578
